"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","147","","test_identify","TestIdentify","","","test_identify_center_status_false",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","136","","test_goods","TestGoods","","","test_oods_confirm_order_v3_num_false",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","118","","test_identify","TestIdentify","","","test_identify_center_pass",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","159","","test_identify","TestIdentify","","","test_identify_center_detail_orderid_false",""
"passed","Tue Mar 15 13:36:03 CST 2022","Tue Mar 15 13:36:04 CST 2022","187","","test_gifcard","TestGifcard","","","test_giftcard_pass",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","123","","test_user","TestUser","","","test_user_address",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","120","","test_identify","TestIdentify","","","test_identify_records_pass",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:06 CST 2022","135","","test_goods","TestGoods","","","test_oods_confirm_order_v3_pass",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:29 CST 2022","140","","test_user","TestUser","","","test_user_address_update_pass",""
"passed","Tue Mar 15 13:36:20 CST 2022","Tue Mar 15 13:36:21 CST 2022","169","","test_order","TestOrder","","","test_order_get_order_info_id_false",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","148","","test_user","TestUser","","","test_user_address_delect_pass",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","369","","test_order","TestOrder","","","test_order_cancel",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:25 CST 2022","137","","test_store","TestStore","","","test_store_goods_detail_type_false",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","106","","test_goods","TestGoods","","","test_goods_switchyeargoods_goodsid_none",""
"passed","Tue Mar 15 13:36:26 CST 2022","Tue Mar 15 13:36:26 CST 2022","104","","test_user","TestUser","","","test_login_file",""
"passed","Tue Mar 15 13:36:26 CST 2022","Tue Mar 15 13:36:26 CST 2022","477","","test_user","TestUser","","","test_login_pass",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","131","","test_user","TestUser","","","test_order_take_detail_filter_pass",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","137","","test_goods","TestGoods","","","test_oods_confirm_order_v3_num_none",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","122","","test_identify","TestIdentify","","","test_identify_center_page_none",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","192","","test_gifcard","TestGifcard","","","test_giftcard_pass_repeat",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","128","","test_goods","TestGoods","","","test_order_get_express_fee_goodsid_none",""
"passed","Tue Mar 15 13:36:14 CST 2022","Tue Mar 15 13:36:15 CST 2022","532","","test_order","TestOrder","","","test_order_ok_pass",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","134","","test_store","TestStore","","","test_store_goods_detail_bn_none",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","117","","test_store","TestStore","","","test_store_bn_pass",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","136","","test_user","TestUser","","","test_order_take_detail_filter_page_none",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","143","","test_store","TestStore","","","test_store_goods_info_pass",""
"passed","Tue Mar 15 13:36:18 CST 2022","Tue Mar 15 13:36:18 CST 2022","381","","test_order","TestOrder","","","test_createorder_pass",""
"passed","Tue Mar 15 13:36:22 CST 2022","Tue Mar 15 13:36:22 CST 2022","110","","test_order","TestOrder","","","test_order_is_can_stock_goodsid_false",""
"passed","Tue Mar 15 13:36:26 CST 2022","Tue Mar 15 13:36:27 CST 2022","133","","test_user","TestUser","","","test_shell",""
"passed","Tue Mar 15 13:36:09 CST 2022","Tue Mar 15 13:36:10 CST 2022","187","","test_order","TestOrder","","","test_order_detail_pass",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","91","","test_identify","TestIdentify","","","test_identify_cats_limit_none",""
"passed","Tue Mar 15 13:36:26 CST 2022","Tue Mar 15 13:36:26 CST 2022","107","","test_store","TestStore","","","test_store_sku_detail_pass",""
"passed","Tue Mar 15 13:36:09 CST 2022","Tue Mar 15 13:36:09 CST 2022","117","","test_identify","TestIdentify","","","test_identify_center_list_pass",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","106","","test_goods","TestGoods","","","test_goods_send_self_deliver",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","97","","test_user","TestUser","","","test_order_detail_filter_page_file",""
"passed","Tue Mar 15 13:36:18 CST 2022","Tue Mar 15 13:36:19 CST 2022","253","","test_order","TestOrder","","","test_createorder_maxmun_false",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","201","","test_user","TestUser","","","test_user_address_name_none",""
"passed","Tue Mar 15 13:36:11 CST 2022","Tue Mar 15 13:36:12 CST 2022","517","","test_order","TestOrder","","","test_order_all_pass",""
"passed","Tue Mar 15 13:36:26 CST 2022","Tue Mar 15 13:36:26 CST 2022","109","","test_user","TestUser","","","test_login_none",""
"passed","Tue Mar 15 13:36:27 CST 2022","Tue Mar 15 13:36:27 CST 2022","129","","test_user","TestUser","","","test_user_update_pass",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:31 CST 2022","124","","test_user","TestUser","","","test_user_coupon_page_false",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","146","","test_identify","TestIdentify","","","test_identify_records_orderid_none",""
"passed","Tue Mar 15 13:36:20 CST 2022","Tue Mar 15 13:36:20 CST 2022","130","","test_order","TestOrder","","","test_order_get_order_info_id_none",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","129","","test_goods","TestGoods","","","test_order_get_express_fee_pass",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","103","","test_identify","TestIdentify","","","test_identify_cats_pass",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","143","","test_identify","TestIdentify","","","test_identify_report_pass",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","162","","test_gifcard","TestGifcard","","","test_giftcard_epcode_false",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","130","","test_user","TestUser","","","test_user_coupon_pass",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","125","","test_goods","TestGoods","","","test_order_get_express_fee_num_none",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","156","","test_identify","TestIdentify","","","test_identify_report_orderid_none",""
"passed","Tue Mar 15 13:36:31 CST 2022","Tue Mar 15 13:36:31 CST 2022","131","","test_user","TestUser","","","test_user_default_address",""
"passed","Tue Mar 15 13:36:27 CST 2022","Tue Mar 15 13:36:27 CST 2022","149","","test_user","TestUser","","","test_user_dashboard",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","209","","test_store","TestStore","","","test_store_goods_pass",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","133","","test_store","TestStore","","","test_store_goods_detail_type_none",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","157","","test_user","TestUser","","","test_user_update_value_none",""
"passed","Tue Mar 15 13:36:23 CST 2022","Tue Mar 15 13:36:23 CST 2022","140","","test_order","TestOrder","","","test_ipaynow_index_pass",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","106","","test_goods","TestGoods","","","test_goods_switchyeargoods_pass",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","188","","test_user","TestUser","","","test_user_address_update_name_none",""
"passed","Tue Mar 15 13:36:27 CST 2022","Tue Mar 15 13:36:27 CST 2022","434","","test_user","TestUser","","","test_upload_avatar_auth",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","128","","test_goods","TestGoods","","","test_order_get_express_fee_num_false",""
"passed","Tue Mar 15 13:36:10 CST 2022","Tue Mar 15 13:36:10 CST 2022","133","","test_order","TestOrder","","","test_order_detail_id_none",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:07 CST 2022","88","","test_identify","TestIdentify","","","test_identify_cats_page_none",""
"passed","Tue Mar 15 13:36:27 CST 2022","Tue Mar 15 13:36:28 CST 2022","149","","test_user","TestUser","","","test_user_update_type_none",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","131","","test_user","TestUser","","","test_user_address_detail_pass",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","117","","test_user","TestUser","","","test_order_detail_filter_page_none",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","186","","test_user","TestUser","","","test_user_address_mobile_none",""
"passed","Tue Mar 15 13:36:27 CST 2022","Tue Mar 15 13:36:27 CST 2022","147","","test_user","TestUser","","","test_user",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","108","","test_goods","TestGoods","","","test_goods_send_list",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","90","","test_identify","TestIdentify","","","test_identify_cats_limit_false",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","116","","test_user","TestUser","","","test_order_take_detail_filter_page_false",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","149","","test_identify","TestIdentify","","","test_identify_center_status_none",""
"passed","Tue Mar 15 13:36:11 CST 2022","Tue Mar 15 13:36:11 CST 2022","163","","test_order","TestOrder","","","test_order_detail_id_false",""
"passed","Tue Mar 15 13:36:16 CST 2022","Tue Mar 15 13:36:16 CST 2022","129","","test_order","TestOrder","","","test_order_status_none",""
"passed","Tue Mar 15 13:36:14 CST 2022","Tue Mar 15 13:36:14 CST 2022","126","","test_order","TestOrder","","","test_order_wait_received_pass",""
"passed","Tue Mar 15 13:36:12 CST 2022","Tue Mar 15 13:36:12 CST 2022","145","","test_order","TestOrder","","","test_order_wait_pay_pass",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:09 CST 2022","145","","test_identify","TestIdentify","","","test_identify_report_detail_identifyid_none",""
"passed","Tue Mar 15 13:36:15 CST 2022","Tue Mar 15 13:36:16 CST 2022","472","","test_order","TestOrder","","","test_order_fail_pass",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:08 CST 2022","149","","test_identify","TestIdentify","","","test_identify_center_detail_pass",""
"passed","Tue Mar 15 13:36:09 CST 2022","Tue Mar 15 13:36:09 CST 2022","153","","test_identify","TestIdentify","","","test_identify_report_detail_identifyid_false",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","134","","test_identify","TestIdentify","","","test_identify_report_detail_pass",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","176","","test_user","TestUser","","","test_user_address_delect_file",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","140","","test_store","TestStore","","","test_store_goods_info_epcode_none",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:30 CST 2022","162","","test_user","TestUser","","","test_user_address_detail_id_file",""
"passed","Tue Mar 15 13:36:21 CST 2022","Tue Mar 15 13:36:21 CST 2022","110","","test_order","TestOrder","","","test_order_is_can_stock_pass",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","166","","test_identify","TestIdentify","","","test_identify_center_detail_orderid_none",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","149","","test_gifcard","TestGifcard","","","test_giftcard_epcode_none",""
"passed","Tue Mar 15 13:36:06 CST 2022","Tue Mar 15 13:36:06 CST 2022","128","","test_goods","TestGoods","","","test_oods_confirm_order_v3_goodsid_none",""
"passed","Tue Mar 15 13:36:19 CST 2022","Tue Mar 15 13:36:19 CST 2022","111","","test_order","TestOrder","","","test_order_get_order_info_pass",""
"passed","Tue Mar 15 13:36:17 CST 2022","Tue Mar 15 13:36:17 CST 2022","150","","test_order","TestOrder","","","test_order_status_false",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","167","","test_store","TestStore","","","test_store_goods_detail_pass",""
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","117","","test_identify","TestIdentify","","","test_identify_center_page_false",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","164","","test_user","TestUser","","","test_user_address_pass",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","100","","test_goods","TestGoods","","","test_goods_switchyeargoods_goodsid_false",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","176","","test_store","TestStore","","","test_store_stock_pass",""
"passed","Tue Mar 15 13:36:13 CST 2022","Tue Mar 15 13:36:13 CST 2022","239","","test_order","TestOrder","","","test_order_wait_send_pass",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","103","","test_goods","TestGoods","","","test_goods_stock_pass",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:26 CST 2022","114","","test_store","TestStore","","","test_store2020_pass",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","119","","test_identify","TestIdentify","","","test_identify_records_orderid_false",""
"passed","Tue Mar 15 13:36:22 CST 2022","Tue Mar 15 13:36:22 CST 2022","129","","test_order","TestOrder","","","test_order_is_can_stock_goodsid_none",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","144","","test_user","TestUser","","","test_user_address_detail_id_none",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","113","","test_goods","TestGoods","","","test_goods_rapid_recovery_pass",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","148","","test_store","TestStore","","","test_store_goods_detail_bn_false",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","117","","test_user","TestUser","","","test_order_detail_filter_pass",""
